"","hh_ID","business"
"1",101001,"1"
"2",101002,"1"
"3",101003,"0"
"4",101004,"0"
"5",101005,"1"
"6",101006,"0"
"7",101007,"0"
"8",101009,"1"
"9",101011,"0"
"10",101013,"0"
"11",102017,"1"
"12",102019,"1"
"13",102020,"1"
"14",102022,"1"
"15",102023,"1"
"16",102025,"1"
"17",103026,"1"
"18",103027,"0"
"19",103028,"1"
"20",103029,"1"
"21",103030,"0"
"22",103031,"1"
"23",103032,"1"
"24",103034,"1"
"25",103035,"0"
"26",104038,"0"
"27",104040,"1"
"28",104041,"1"
"29",104043,"0"
"30",104044,"0"
"31",105045,"1"
"32",105046,"0"
"33",105047,"0"
"34",105049,"1"
"35",105050,"1"
"36",105051,"1"
"37",105055,"1"
"38",106056,"1"
"39",106057,"0"
"40",106058,"1"
"41",106059,"1"
"42",106060,"0"
"43",106061,"1"
"44",106063,"1"
"45",106064,"1"
"46",106065,"0"
"47",106066,"0"
"48",106067,"1"
"49",107068,"0"
"50",107069,"0"
"51",107073,"0"
"52",107074,"0"
"53",107079,"1"
"54",107080,"1"
"55",108085,"0"
"56",108086,"1"
"57",108088,"1"
"58",108089,"0"
"59",108090,"0"
"60",108091,"1"
"61",108092,"0"
"62",108093,"0"
"63",108094,"1"
"64",108095,"1"
"65",108096,"1"
"66",108097,"1"
"67",109101,"1"
"68",110106,"1"
"69",110107,"0"
"70",110108,"1"
"71",110109,"0"
"72",110111,"1"
"73",110112,"1"
"74",111115,"1"
"75",112122,"1"
"76",112124,"1"
"77",112127,"1"
"78",112128,"0"
"79",112129,"1"
"80",112131,"1"
"81",112132,"1"
"82",113134,"0"
"83",113137,"1"
"84",113138,"0"
"85",113139,"0"
"86",113140,"0"
"87",113141,"0"
"88",113142,"1"
"89",113143,"0"
"90",113144,"1"
"91",113147,"1"
"92",114149,"1"
"93",114150,"1"
"94",114151,"1"
"95",115156,"0"
"96",115159,"0"
"97",115160,"0"
"98",115161,"0"
"99",115162,"0"
"100",115163,"1"
"101",115164,"0"
"102",115165,"1"
"103",116167,"1"
"104",116168,"0"
"105",116169,"0"
"106",116170,"0"
"107",116172,"0"
"108",116173,"0"
"109",116175,"0"
"110",116176,"1"
"111",116179,"1"
"112",116180,"1"
"113",117182,"1"
"114",117184,"1"
"115",117186,"0"
"116",117189,"0"
"117",117191,"1"
"118",117192,"0"
"119",117193,"0"
"120",118194,"0"
"121",118195,"0"
"122",118196,"0"
"123",118197,"0"
"124",118198,"0"
"125",118199,"0"
"126",118200,"1"
"127",118201,"0"
"128",118202,"1"
"129",118203,"1"
"130",118206,"0"
"131",118207,"1"
"132",118209,"1"
"133",118211,"1"
"134",118212,"1"
"135",119213,"1"
"136",119214,"1"
"137",119215,"1"
"138",119216,"1"
"139",119217,"0"
"140",119218,"1"
"141",119220,"0"
"142",119222,"1"
"143",120225,"0"
"144",120226,"1"
"145",120228,"0"
"146",120229,"1"
"147",120230,"0"
"148",120231,"1"
"149",120233,"1"
"150",120236,"0"
"151",120237,"0"
"152",120238,"1"
"153",221240,"1"
"154",221241,"0"
"155",221242,"0"
"156",221245,"1"
"157",221246,"0"
"158",221249,"1"
"159",221250,"1"
"160",221251,"0"
"161",222252,"1"
"162",222253,"0"
"163",222254,"1"
"164",222257,"1"
"165",222258,"1"
"166",222259,"1"
"167",223262,"1"
"168",223263,"1"
"169",223269,"0"
"170",223271,"1"
"171",224272,"1"
"172",224273,"0"
"173",224274,"0"
"174",224275,"1"
"175",224276,"1"
"176",224277,"1"
"177",224278,"0"
"178",224279,"0"
"179",224280,"0"
"180",224281,"1"
"181",224282,"1"
"182",224284,"0"
"183",225285,"0"
"184",225289,"1"
"185",225291,"1"
"186",225293,"0"
"187",225295,"1"
"188",226302,"1"
"189",226304,"1"
"190",226305,"0"
"191",226306,"1"
"192",226308,"1"
"193",226309,"0"
"194",227312,"1"
"195",227314,"0"
"196",227317,"0"
"197",227318,"1"
"198",227319,"0"
"199",227320,"1"
"200",227321,"0"
"201",228322,"1"
"202",228323,"1"
"203",228324,"0"
"204",228325,"0"
"205",228326,"1"
"206",228327,"1"
"207",228328,"0"
"208",228329,"0"
"209",228330,"0"
"210",228331,"1"
"211",228332,"1"
"212",228333,"0"
"213",229334,"1"
"214",229335,"0"
"215",229337,"1"
"216",229338,"1"
"217",229339,"1"
"218",229340,"1"
"219",229341,"0"
"220",229342,"0"
"221",229343,"1"
"222",229345,"1"
"223",230346,"0"
"224",230347,"1"
"225",230348,"0"
"226",230349,"1"
"227",230350,"0"
"228",230351,"1"
"229",230353,"1"
"230",230355,"1"
"231",230357,"1"
"232",231358,"0"
"233",231359,"1"
"234",231360,"1"
"235",231362,"0"
"236",231363,"1"
"237",231365,"0"
"238",231366,"1"
"239",231367,"0"
"240",231368,"1"
"241",231369,"0"
"242",232370,"0"
"243",232371,"1"
"244",232373,"0"
"245",232378,"1"
"246",232380,"0"
"247",233383,"1"
"248",233385,"1"
"249",233386,"0"
"250",233388,"1"
"251",233393,"1"
"252",233394,"1"
"253",233395,"0"
"254",234399,"1"
"255",234400,"1"
"256",234403,"0"
"257",235407,"1"
"258",235413,"0"
"259",235414,"0"
"260",235415,"0"
"261",235416,"1"
"262",235417,"1"
"263",235418,"0"
"264",236421,"0"
"265",236422,"1"
"266",236423,"1"
"267",236425,"1"
"268",236427,"1"
"269",236429,"1"
"270",236430,"0"
"271",237431,"1"
"272",237432,"1"
"273",237433,"1"
"274",237434,"1"
"275",237435,"1"
"276",237436,"1"
"277",237437,"0"
"278",237438,"0"
"279",237440,"1"
"280",237441,"1"
"281",237442,"0"
"282",237443,"0"
"283",238446,"1"
"284",238448,"1"
"285",238449,"0"
"286",238450,"1"
"287",238451,"0"
"288",238452,"1"
"289",238453,"1"
"290",238454,"1"
"291",238455,"0"
"292",239456,"0"
"293",239457,"0"
"294",239458,"1"
"295",239459,"1"
"296",239460,"0"
"297",239461,"0"
"298",239462,"1"
"299",239463,"1"
"300",239464,"1"
"301",239465,"0"
"302",239466,"1"
"303",239467,"1"
"304",240468,"1"
"305",240469,"1"
"306",240471,"0"
"307",240472,"1"
"308",240474,"0"
"309",240477,"1"
"310",240478,"1"
"311",240479,"1"
